ID,IV_MAIN_Variable,Politeness_perception,Happiness_PostRequest,age,gender,pol1,job,edu,ethni
428,Experimental group: asked to donate and accepted in T2,4.272727273,2.545454545,38,Female,Independent,Sales and office occupations,High School / GED,White/Caucasian
445,Experimental group: asked to donate and accepted in T2,3.727272727,4,35,Male,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
446,Experimental group: asked to donate and accepted in T2,3.454545455,4.181818182,54,Female,Moderate Democrat,Sales and office occupations,Master's Degree,White/Caucasian
450,Experimental group: asked to donate and accepted in T2,4.045454545,3.545454545,54,Female,Moderate Republican,Other,High School / GED,White/Caucasian
452,Experimental group: asked to donate and accepted in T2,3.181818182,3.636363636,57,Female,Independent,Other,High School / GED,White/Caucasian
460,Experimental group: asked to donate and accepted in T2,3.454545455,1.727272727,42,Female,Moderate Republican,Unemployed,High School / GED,White/Caucasian
466,Experimental group: asked to donate and accepted in T2,3.318181818,4.545454545,61,Female,Independent,Other,2-year College Degree,White/Caucasian
470,Experimental group: asked to donate and accepted in T2,2.954545455,3.454545455,27,Male,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
474,Experimental group: asked to donate and accepted in T2,3.681818182,2.818181818,44,Female,Moderate Republican,Other,2-year College Degree,White/Caucasian
476,Experimental group: asked to donate and accepted in T2,4.454545455,3.636363636,46,Female,Moderate Republican,Other,High School / GED,White/Caucasian
477,Experimental group: asked to donate and accepted in T2,4.227272727,3.363636364,28,Female,Independent,Sales and office occupations,High School / GED,African American
481,Experimental group: asked to donate and accepted in T2,4.545454545,2.727272727,28,Male,Moderate Democrat,Service occupations,2-year College Degree,Hispanic
482,Experimental group: asked to donate and accepted in T2,4.636363636,5,38,Female,Strong Republican,"Management, professional, and related occupations",Master's Degree,White/Caucasian
486,Experimental group: asked to donate and accepted in T2,3.545454545,1.818181818,36,Female,Independent,Government occupations,4-year College Degree,Asian
488,Experimental group: asked to donate and accepted in T2,3.272727273,4.636363636,31,Female,Independent,"Farming, fishing, and forestry",4-year College Degree,White/Caucasian
502,Experimental group: asked to donate and accepted in T2,3.727272727,2.636363636,26,Male,Moderate Democrat,"Management, professional, and related occupations","Professional Degree (JD, MD)",African American
508,Experimental group: asked to donate and accepted in T2,3.681818182,2.818181818,29,Female,Moderate Republican,"Management, professional, and related occupations",2-year College Degree,White/Caucasian
527,Experimental group: asked to donate and accepted in T2,2.318181818,2.090909091,58,Female,Strong Republican,Unemployed,High School / GED,White/Caucasian
547,Experimental group: asked to donate and accepted in T2,4.318181818,3.818181818,33,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,White/Caucasian
550,Experimental group: asked to donate and accepted in T2,3.272727273,5,56,Female,Independent,Sales and office occupations,4-year College Degree,White/Caucasian
559,Experimental group: asked to donate and accepted in T2,3.818181818,4.272727273,49,Female,Strong Republican,Other,High School / GED,White/Caucasian
580,Experimental group: asked to donate and accepted in T2,3.727272727,1.090909091,34,Male,Independent,Unemployed,2-year College Degree,White/Caucasian
582,Experimental group: asked to donate and accepted in T2,3.590909091,1.909090909,56,Female,Moderate Democrat,Other,High School / GED,White/Caucasian
587,Experimental group: asked to donate and accepted in T2,3.954545455,4.363636364,39,Female,Independent,Service occupations,High School / GED,White/Caucasian
596,Experimental group: asked to donate and accepted in T2,3.545454545,3.363636364,50,Male,Moderate Democrat,"Construction, extraction, and maintenance occupations",2-year College Degree,White/Caucasian
599,Experimental group: asked to donate and accepted in T2,4.545454545,4.727272727,35,Female,Moderate Democrat,"Management, professional, and related occupations",Master's Degree,Asian
601,Experimental group: asked to donate and accepted in T2,3.681818182,4.636363636,31,Female,Independent,"Management, professional, and related occupations",4-year College Degree,Asian
